,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,id,category,label_h,label_e,label_x,label_a,label_c,label_o
417,-122.52288405700247,-111.77493510961129,-116.19667622929249,-120.49723161044342,-121.49004480175105,-122.72136119046462,-121.60832517328208,-123.48807570895238,-124.24728860395231,-124.18669813159424,-125.02270627269272,-127.35321282952505,-128.91320706096909,-128.31763793483725,-129.18461215212398,-130.88309724766475,-131.6928191559406,-134.1141740938866,-134.01536258504206,-133.35546931637276,-134.79524207527763,-134.73934997692635,-134.62051134253932,-133.35520112414585,-134.3323346391022,-136.2459996442171,-137.1171353500816,-136.33282079180302,-136.400934393658,-135.41836946761512,-136.3851744178171,-135.89826433391292,-136.4311251922736,-137.5867780631787,-136.9762587854483,-136.4314531841892,-138.091871286583,-140.3594034540119,-138.6809162964773,-138.72625992123366,-140.88214413092717,-140.36520888145017,-138.9375243159554,-139.3192742104652,-139.9670988226304,-141.35479192184684,-140.83711464484114,-141.6834324863463,-142.6001477999481,-142.7779676453517,-143.1818396955236,-144.0095692610946,-145.6900671303718,-143.5305789055889,-144.60782493086907,-144.36377171342025,-146.01660463792533,-146.7063787343312,-147.46091854109793,-145.94635529766816,-144.09132253054082,-145.11451863213816,-144.3911441812097,-144.56721678857622,-148.5674265185199,12,2,0.0,0.0,0.0,1.0,0.0,1.0
418,-116.00530834950833,-100.85171116442852,-108.3074543708764,-114.21973422437048,-121.24266465706108,-120.93837216023353,-120.87654427830431,-122.39178127381363,-124.60937165390591,-125.59229612523725,-126.45635863242576,-126.26473305215438,-126.90867338247074,-128.46868310093396,-130.03110803089433,-131.2131754610228,-133.34146655959225,-132.09081233654422,-133.06221133370218,-133.63780647874273,-133.71481416726866,-134.87999607636402,-135.5143740266603,-133.93949157737092,-134.2556866128504,-135.0127645856008,-134.80936748779058,-133.75328813081896,-135.60449502370676,-135.08844802765094,-134.89417278295693,-136.09282826124132,-135.02853836684278,-136.37312578438423,-136.97799284918742,-136.96282855579352,-138.3977795078457,-137.1607791698321,-137.50314836884786,-139.28018732730715,-139.3603728961837,-139.93297596680648,-140.78124806141147,-139.60128957944346,-140.81087747512072,-141.49704598666187,-140.64266054156846,-141.49162514949458,-140.08292254170948,-140.95207695917156,-141.2429468949328,-145.259921995286,-145.45180514350028,-144.26007918157234,-144.46156156979183,-143.7068963754569,-143.96036839663518,-145.00559708680117,-143.52189003162698,-145.70153414212825,-146.63721506096013,-145.1839155278136,-146.68292067245258,-146.60671253529082,-148.44672142780547,12,2,0.0,0.0,0.0,1.0,0.0,1.0
419,-111.92884472186626,-99.51880585850175,-104.89859951038301,-113.9390441797928,-120.00567101606167,-122.39169392365827,-121.25235363565254,-123.80726136574046,-125.48369738580084,-126.35474539754208,-125.6965807159373,-126.7103608905171,-128.22602159502856,-129.4072776698195,-127.89002329440592,-130.21073691637957,-133.13759472551934,-132.4241736578136,-133.00969129424445,-133.46888990759007,-132.8015828840685,-131.99873390878062,-132.74223755389806,-133.51590646846435,-134.15150444224804,-135.6856915573342,-137.60503519230832,-133.6650370224098,-133.56278698298604,-134.16512625343248,-135.72558037816717,-135.3227530524975,-135.24725804648685,-136.4135844440965,-135.88121409771642,-137.3998956446028,-136.6463008209391,-137.89244328303357,-138.2562376494008,-137.1848346782902,-137.2493897688629,-138.8395557052168,-139.44817067626485,-140.22664861282666,-139.40926170651514,-139.23817685725868,-140.08624825596144,-141.02090681334903,-142.62575780836667,-142.8524677411394,-142.41507375004738,-145.32170202441236,-145.7549832645354,-143.3014576605171,-144.0848974823081,-144.20069621133416,-146.03873657568158,-144.95654333749337,-145.28735708717417,-145.98334428573614,-145.28117942965622,-145.4299292141083,-145.27183598527355,-147.60342902326175,-149.76420382605787,12,2,0.0,0.0,0.0,1.0,0.0,1.0
420,-119.1246250643876,-109.35509176859382,-113.90224656598129,-118.02831687842165,-120.19928598726351,-119.5410908260315,-120.31215617789805,-123.06230146079648,-124.282671624138,-123.93774660939118,-127.86126862307216,-126.51021253814633,-125.4956867938523,-128.1773596197741,-129.70711436049982,-130.76621026106534,-131.09358766096625,-130.9982771018474,-132.27570856636655,-133.4849791643288,-132.77410922310298,-133.0601423366429,-133.0837834044455,-132.49172363507603,-133.85039516377677,-134.7707264156845,-135.321205801936,-134.20785852535704,-134.11390170924784,-135.12565301519263,-136.6600327553795,-137.02506059331202,-135.901934323409,-135.82554966301893,-137.14114352192075,-137.87495395235155,-138.22596342069767,-137.86534218813023,-137.74239439577187,-137.34120060587398,-138.70156719281655,-137.54156122000998,-137.0102728613353,-138.08065382421665,-137.74369977465017,-138.13493934480906,-140.21179027322765,-140.70307407986346,-140.84402973206377,-142.01437386002914,-143.92273155412786,-145.54176684802275,-144.3225230571851,-143.11913077445746,-144.5627754202037,-143.54187855508843,-142.8962424820092,-143.58619287260032,-143.32161501661787,-145.10477749558524,-145.6684564265183,-147.70469540294945,-146.74514930244476,-146.74850983922082,-149.08025752269967,12,5,0.0,0.0,0.0,1.0,0.0,1.0
421,-103.56523549174196,-92.68008103547359,-97.65428649687149,-108.04546127579277,-109.42517497139137,-115.08455169869818,-115.88240997720384,-120.42875147899426,-121.51083342251732,-122.39586842407019,-123.46038327398793,-125.14577700080093,-125.5035079692742,-125.18823231122958,-126.01164924463744,-125.88185103044255,-127.60081734389067,-127.53155182360685,-128.29795013936214,-128.75519586512036,-128.55477622603044,-129.1267662754063,-130.3357794887855,-129.59112952835162,-128.69791347475865,-131.90204349299282,-131.0178853594479,-131.25120140710123,-129.31505635587135,-129.0928281145717,-130.9043766402861,-131.91333486131757,-130.88134883442203,-131.5368354785333,-132.8410738400837,-130.36666902856214,-132.79237492498459,-132.15786577345173,-133.30896729703315,-133.5154961771224,-135.1909788012261,-134.00432609752326,-130.3384773178832,-133.18194438199777,-134.4366380574834,-135.97696324157687,-134.01521174612856,-136.48993349260573,-137.84914541646734,-138.55698215387966,-135.4915921768202,-141.1203061025086,-140.17868386940623,-139.33726325620418,-139.68515640331287,-139.03181136873573,-139.60771657351043,-140.7090572565774,-141.75621558050838,-142.0951697800443,-141.5672055722939,-141.62156227034725,-141.9876067614116,-139.64417695513725,-143.37850095619052,12,5,0.0,0.0,0.0,1.0,0.0,1.0
422,-105.30150721244574,-99.1080379205667,-100.95656383254126,-106.0847394951391,-110.65352946726293,-115.20171866561196,-118.41951132904028,-119.43657210581476,-123.82228629178562,-123.11323532276668,-123.7644426722639,-126.18130235777167,-125.87074803516522,-128.05180849554426,-129.70108519316594,-131.0454036778112,-132.3215215580767,-131.58069119522906,-131.53096789694519,-132.4715808254476,-132.88663967013107,-133.55621571456683,-132.98486166312455,-133.4151335811597,-131.91862491396893,-134.23746437295384,-135.01815927240855,-133.9727658832378,-135.2938362703912,-135.3915517952299,-134.53185785974478,-135.4717906072823,-135.3274543735701,-135.18535869833522,-136.7149091208857,-136.53524613557747,-136.6606809383064,-137.00280835876472,-136.9773318723245,-138.0122305839489,-137.70985632454622,-137.76753886588267,-138.52087459768052,-138.6612238545613,-140.30086756079376,-139.46638728502575,-138.4043617552125,-139.88918592821744,-139.83249277455104,-140.13484425178623,-140.6063994677047,-142.98094894887265,-143.56248017192564,-142.67705054032368,-143.8587200318344,-143.7838927754716,-142.6685719919716,-143.63216483583832,-144.07150423116212,-145.50453540004585,-145.67133196071555,-145.23716209918956,-144.52527264168654,-144.99723450003705,-148.81139221036545,12,5,0.0,0.0,0.0,1.0,0.0,1.0
423,-122.76278723949284,-111.26936590739695,-114.12344537892326,-120.34703532751391,-120.03625127352453,-122.22558377270516,-122.09560425441006,-122.16371635425809,-124.12972479064862,-124.43440653414154,-126.30516242347278,-126.5657844907287,-127.60274125531794,-127.33481546155514,-128.56197719650316,-130.23445083719545,-132.03126277927996,-131.9967390554941,-132.14709438315987,-131.95282012834735,-133.25258814083736,-132.7975770118694,-131.68485839374728,-132.70305699908047,-135.0836342681216,-135.80503969893306,-137.51787467031988,-136.58566407940447,-134.67482312868842,-135.896797346813,-136.21732799647174,-135.1956573997342,-134.75442259543638,-137.04085955987324,-136.44546973569442,-138.38126879269404,-138.92264511937483,-136.72757001433862,-137.2822575309115,-139.30175558502089,-139.52081619310854,-139.60145789417626,-139.09473451722994,-141.08004487125027,-139.52712792617177,-139.87810202521476,-140.62252937668643,-141.42037936744086,-141.25393114153968,-140.13771152331668,-141.2776878708353,-142.5176512645461,-141.67418975761638,-144.11134963693917,-145.55253422428936,-145.07404836376256,-144.80145031611323,-144.6061621092535,-144.47546024880825,-144.14571973719663,-144.29502496230091,-145.42982439429264,-145.00593847388944,-145.24879270435312,-149.47513389575565,12,5,0.0,0.0,0.0,1.0,0.0,1.0
424,-110.3975554049387,-101.39132634309655,-112.11180772243378,-117.08659438243048,-122.49980985393177,-124.72759451011879,-123.92924659801317,-124.05591532884071,-125.16218786960226,-124.8828625542431,-125.16603773293008,-126.12612836397582,-126.69229336790076,-128.71091189295524,-128.2156352344998,-130.49012944753397,-131.55780512118662,-131.42467059799927,-132.25867398098063,-131.28973615761564,-133.46376227674892,-133.29650349260305,-133.7090229869083,-134.2292076648001,-134.79109978057704,-135.7190467151389,-136.07735876877396,-135.13519578410316,-134.2560704471536,-133.76073404156043,-135.98373510928678,-134.89828796688062,-135.36719015064602,-136.60818138135608,-137.23138946372896,-137.0852658780688,-136.92557705702865,-136.49002107635394,-138.43601728425247,-138.33435377966256,-137.33767846210128,-138.12345346751522,-138.52711813948508,-137.8517559858987,-137.84355093278006,-138.89152618404782,-139.73580388524124,-139.3809248552638,-138.8321042422967,-140.37389384499707,-141.48560905683777,-144.71919781507,-144.03292399876736,-142.16307495879886,-141.54896542949794,-143.60591995509336,-143.71168020860068,-145.69279635103265,-146.04299876586938,-144.73468516777157,-145.6171419369768,-145.24072622233834,-144.4582935238701,-145.8835394540381,-148.40263061713088,12,5,0.0,0.0,0.0,1.0,0.0,1.0
425,-122.33075019430493,-111.22374169104957,-113.96341150201273,-117.66956352165741,-119.80531908505506,-121.39075221124091,-121.60282164730387,-122.0233258509864,-122.97929151629381,-125.2448356439156,-126.27687895102068,-127.62707294116976,-128.34174083247038,-127.99376947834187,-129.43814161841433,-131.04467055337744,-133.9977663082762,-132.09458910259426,-133.27801011943808,-133.21929012958546,-133.5685512746443,-135.2509240116413,-135.19720864891352,-134.93989752259782,-134.95518396306767,-137.52520979716135,-139.1698810085367,-136.8349295623802,-137.0259039899945,-136.13908050391026,-136.22406471400035,-137.95032430279912,-140.6653674928013,-138.69581100866108,-139.4710703336185,-139.21854877285708,-139.74645294520104,-140.1084264863126,-140.16688477302577,-139.52512477243573,-139.8192761455789,-139.70615743636995,-142.49458573997845,-141.9648014095912,-140.76107562466143,-141.70099972768332,-141.55161690471112,-141.05863383262667,-141.06370343367442,-142.4347221620432,-144.58783152968667,-146.02067377392746,-146.091393997718,-147.50927637454356,-144.89321069193272,-144.3825611659585,-144.17079731190316,-145.66465035665618,-145.00319876583714,-145.5877085797733,-147.4833710783653,-145.64709517826003,-146.52000742965402,-146.0246617364998,-145.2042763284799,12,2,0.0,0.0,0.0,1.0,0.0,1.0
426,-119.64243262227265,-100.00442992233401,-102.08114525957666,-107.30395615059253,-111.16675538845128,-115.71997292136273,-119.51290728685731,-121.62868460691044,-122.43092159806422,-123.48590672486786,-124.94971451234031,-126.43764450824915,-128.06941342457714,-130.25083686568598,-131.6606661527993,-130.71133831587179,-129.56803593508778,-130.66296205864904,-131.99550592286718,-133.63933181624498,-133.7982967508346,-133.37048306290367,-133.19872281238932,-132.66769340253052,-133.85637270573042,-136.76221618148648,-136.96781653587814,-136.739434206317,-136.0058663384794,-136.59953505051573,-135.5702575419461,-135.91851921753374,-136.61809635134537,-137.3559187128194,-137.70862934784034,-139.07378481329266,-140.13206705868237,-138.52669979785048,-136.97495278834967,-136.8307702914237,-138.28623055442802,-137.80059753979873,-138.7867899717925,-142.0737846251721,-140.5024242103997,-139.87266391229608,-140.9492688649089,-141.07497689059323,-141.01026600746283,-140.90960685685837,-141.88836177475562,-144.0832722272118,-145.2641669955282,-144.78537768636514,-143.1825545251245,-143.21393075722406,-145.90965555234834,-146.45821812189067,-145.30886745339447,-145.75013098578302,-145.46716778881313,-145.5998555806577,-148.79012183364577,-148.5134541598342,-150.9845483238942,12,2,0.0,0.0,0.0,1.0,0.0,1.0
427,-119.39351150356873,-101.88501934750006,-109.10074165053886,-115.6220184762393,-118.5533077614238,-120.01834076471727,-121.16265645624318,-121.64109098080152,-126.56881224724857,-125.28574540027287,-124.85883976743095,-127.60414324015743,-127.86370419390568,-129.05921005459174,-129.6993080837883,-131.30648387686716,-133.7500420515258,-133.73766467967084,-133.14190915780165,-133.97784593412888,-134.63345166051806,-134.28662252886596,-134.2804764026698,-136.11541959852235,-134.75298563076262,-135.72891235057563,-136.5579841533396,-136.76085132145946,-136.3216361362927,-136.42638697825217,-135.8126336652706,-136.2775081111079,-136.18615932762944,-137.72036583619726,-138.5582542595262,-138.69866104774496,-138.8419612776629,-139.58827312999412,-140.4721262419847,-141.7334962856421,-140.8995204405479,-141.0984906919006,-139.22795339262078,-138.1516281189464,-140.49652008166612,-141.37465878934063,-142.58724496649836,-142.7598598857981,-142.37418517883805,-141.41810531026908,-142.4304890615807,-146.89078972224084,-145.71452913946968,-144.81867157286348,-144.89159560155042,-146.87946911357005,-147.24982281687872,-145.8948254667322,-146.70166228033003,-146.3675365374402,-144.6142517359365,-146.86005206954673,-147.15170780735596,-146.1297267534825,-150.0005148991024,12,2,0.0,0.0,0.0,1.0,0.0,1.0
