,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,id,category,label_h,label_e,label_x,label_a,label_c,label_o
10,-83.44847833501076,-94.31318514573385,-97.13310591889554,-101.06883189748024,-116.97067946276776,-83.14394487842529,-94.50416205028466,-97.56472144838101,-100.75102851748221,-118.82765324501342,-85.85074228568999,-93.47327509361969,-96.21372498543558,-98.4521984965516,-112.87216105460627,-86.4241147480129,-93.44645556248892,-97.36136995045358,-97.23407877366377,-115.77287467474284,-86.20470141001191,-94.46537647288174,-96.69792290314788,-98.26258795117064,-111.82161299389513,-87.69120128964636,-96.06626490875112,-97.79252701986397,-99.21845908138812,-115.1178471732922,-86.29088693583944,-93.02604221350498,-95.22171233505097,-98.72361919496798,-118.49416445199896,-86.82435776074875,-92.98211318769825,-94.32331175101511,-101.33627381306187,-119.13317804563242,2,3,1.0,0.0,0.0,0.0,0.0,0.0
11,-73.0033359830305,-86.7026481514962,-94.08483882137236,-97.50419281084541,-111.38065796827163,-72.83357685458296,-87.55752742529819,-95.36980050829482,-101.03223224220207,-112.84958183829838,-79.75317808560631,-90.7107222858704,-95.17550182378349,-94.84327897951391,-113.38291688552346,-80.80300798994176,-92.91029160365568,-97.76500096179424,-99.94489617474838,-116.4644424998283,-76.59619596871339,-89.61657187673472,-93.35339614815706,-95.82589403432348,-110.00899703896417,-78.20413963312937,-93.96148214763961,-100.05588643469189,-101.2700266612955,-115.56517141538885,-85.15704050594658,-93.17373175030721,-95.41809832424613,-97.77835606485083,-115.00130018531657,-87.38446661684775,-92.51241131321956,-95.33404904837337,-101.67625138272041,-117.19333415974738,2,3,1.0,0.0,0.0,0.0,0.0,0.0
12,-77.09356239437304,-88.41560395052868,-93.46805856813035,-97.87221932249517,-110.09312416815236,-76.97152332963789,-89.14204841580303,-93.66850398321913,-98.22590712199312,-109.948392821478,-82.36996372433067,-90.90607854255892,-95.77309989712091,-97.14155745863619,-112.13260076964423,-83.57094508536125,-91.90956090419385,-97.07343617240765,-97.1652621899268,-113.7926439496345,-80.45321282144289,-90.59727739523208,-94.85313962005554,-98.08331561798482,-109.33087884043505,-84.05701243585595,-94.14022468358385,-98.46506393688186,-98.98601702334457,-113.26630869171012,-86.29691181523208,-91.48426889418766,-95.01487964213882,-98.40839099743968,-114.98771700648396,-86.94957456793784,-91.78060204385528,-95.76556922444679,-100.94580557061627,-117.88755863600811,2,3,1.0,0.0,0.0,0.0,0.0,0.0
13,-73.28899116966669,-88.42149874848049,-97.12860798071567,-102.64499927311525,-116.45604875066375,-73.50131096157243,-88.92641611317785,-98.52579166178336,-102.26915243226662,-115.91867047077706,-80.17625574929534,-92.11642000328878,-96.33194321628075,-100.29689647346868,-113.97001682613562,-80.79114955881329,-92.69589786746374,-97.54800554325037,-100.26944255600978,-117.59486833151831,-78.1170267348411,-91.7397464501653,-96.09753685748478,-99.3958309029366,-111.3679858214794,-80.59104961056292,-94.16638269002583,-100.59869428667504,-100.65253112770365,-114.95558500343314,-86.30882049019442,-92.7451409361199,-94.24669761583354,-98.88262666235804,-117.9079460581276,-86.56355706455223,-92.54205515779833,-95.14934540372795,-101.9321529931858,-120.10791009022421,2,3,1.0,0.0,0.0,0.0,0.0,0.0
14,-76.66440831361382,-87.74182676357312,-97.51470884239522,-100.83050786774818,-116.33234877207443,-76.49762628740221,-88.02127898297175,-97.80284605487455,-102.35256982341949,-116.27633383957246,-83.5639437360663,-90.25121670750016,-95.4710564435505,-98.63071140709764,-114.36580073149327,-83.64343129504563,-91.57314708149018,-97.09417709223571,-99.20591392319253,-116.88344981785478,-82.73238236680288,-91.16270447766146,-98.02652723748501,-97.60765332588237,-114.10143584358715,-83.15062828242908,-92.7021961160201,-100.13131098928935,-99.65199357893609,-115.71010883232069,-88.79657021965326,-92.44796054333001,-96.05947616515456,-99.8564889770746,-115.24050762520515,-88.95180512272505,-92.9851795985279,-96.89274793481202,-102.57952355130502,-116.28700414960305,2,3,1.0,0.0,0.0,0.0,0.0,0.0
15,-74.44908233541196,-86.89077042505956,-96.50016801288216,-99.65335960277443,-115.03146243318675,-74.21210557859908,-87.35355688582646,-96.78141056538371,-101.23099919124981,-114.87696698900778,-81.57618184066712,-91.15000555252664,-97.4190856770329,-97.4074480195007,-116.9692881642541,-81.77954678428763,-91.863827619987,-98.07762426089488,-101.39526292761619,-119.11095371265947,-80.45083474745431,-91.42398083351401,-96.88167316813804,-99.24825864430558,-114.77950304046858,-81.06067451654422,-92.92238871059729,-100.63151681683388,-102.72497068696994,-116.99499694838502,-88.41066011426803,-92.21152280745243,-94.8601512722243,-100.75847507903708,-116.03066134176323,-88.4998629915219,-92.62917069986773,-94.59699901659248,-102.28641397368607,-118.82337710056697,2,4,1.0,0.0,0.0,0.0,0.0,0.0
16,-93.08117960651103,-96.37426727903906,-99.3559746409571,-99.80409364087477,-116.68204265841915,-92.01877687305782,-95.8271918433101,-98.86340054319152,-99.75518383658347,-118.17307434776598,-90.82651724192083,-94.22285277955055,-97.50091212294734,-96.75240645680864,-117.29804989656829,-92.51204884196903,-94.70386626383709,-98.38848773013606,-97.9878152829138,-117.74909618727507,-92.44536642166224,-95.97290258889666,-98.03029196361102,-98.1955200488162,-116.26705645999127,-95.39279725355448,-97.39565241037297,-101.29520999448039,-99.4284730109718,-117.77413940873751,-90.63809540306794,-94.23687981248526,-94.93167541425117,-100.4729979237274,-114.90979919889557,-91.37376835593366,-92.93459404447569,-95.29820027738162,-102.48478204798889,-117.1327441258629,2,4,1.0,0.0,0.0,0.0,0.0,0.0
17,-73.80721855596768,-87.86611076375429,-97.49203909115502,-100.68907024160427,-119.72134279392722,-73.83937739917411,-88.26442359615723,-97.75521000245251,-99.95580933078016,-120.55670177623269,-80.54352118602654,-91.45915077686588,-96.3493840745752,-98.22340827840598,-118.43733422213307,-81.37176168446659,-92.33291431320202,-97.50649918951166,-97.59285209075593,-121.18634261839736,-78.89814839197975,-90.96399250876661,-97.16291836408107,-98.73952423603166,-116.87251339066044,-81.00147251821078,-93.5171443278815,-100.0437342657983,-100.08056778339696,-119.62978001217884,-87.95079149138087,-93.01736600769092,-94.20883680196916,-99.29129489799449,-117.89339245846813,-88.37793045714159,-93.39017107444432,-95.98893471294267,-102.21442400604113,-120.01166378034468,2,4,1.0,0.0,0.0,0.0,0.0,0.0
18,-75.10569018933208,-93.19462771406197,-97.73561389022889,-98.4588060742978,-115.83238383889024,-75.47006673972481,-93.3830211535275,-98.32536816239504,-101.39237351438868,-115.80322936362272,-81.03551149106254,-93.80457946138692,-95.94483004678524,-96.64854306941392,-116.4860297737639,-82.51946814149731,-94.15237695813002,-97.44169584775173,-100.36037903679377,-117.82874441446305,-78.5975768825127,-93.57844331743956,-97.11123277105237,-96.53377362731199,-114.51251336053613,-82.78529589508696,-96.45380512899476,-99.99444708541526,-99.86378450277121,-116.32359500337529,-87.4320903660037,-93.60141739107361,-93.58896762377142,-99.64291692357227,-113.08756799372298,-88.46304009813076,-92.57866319311847,-94.31734586471742,-100.70738157969423,-115.5230217338862,2,4,1.0,0.0,0.0,0.0,0.0,0.0
19,-81.06715107697639,-93.02509674361889,-98.20764614314847,-102.01759863668535,-119.38004802626557,-81.6858234353667,-93.25065554395856,-98.48196955391543,-104.33573032184171,-119.65522438605406,-86.6766155954061,-94.37886896543606,-96.5399886769097,-100.05250269660931,-120.40570852641773,-88.51848776602539,-94.43605274059145,-97.19537427405868,-103.23477015404819,-122.12668460231177,-84.69745566540253,-95.0095662281896,-98.13104229406221,-100.81946317809485,-116.51953754512112,-89.54682589619175,-96.65104369959408,-99.20301105655369,-104.46031929723841,-120.61086268513418,-90.75766848138115,-92.0650973737562,-94.90304683415218,-101.33086348759906,-116.7005721353664,-92.42182189368478,-91.48475057197845,-94.49812768015863,-103.32994542863193,-119.2455522808427,2,4,1.0,0.0,0.0,0.0,0.0,0.0
